0001dafec880,1366797128,1373606661
0007ab3cd065,1366715303,1373859753
0007abe861f7,1366725262,1373865734
0007abe97e11,1366760573,1373852341
0008ca2c3452,1366715424,1373850347
0008ca4fbbe6,1366778170,1373862620
0008ca501a20,1366764161,1373864915
0008ca5151d2,1366723205,1373849732
0008ca51611e,1366717126,1373866436
0008ca54f503,1366764727,1373859813
0008ca5502d6,1366762097,1373864044
0008ca556dc5,1366848254,1373866392
0008ca559bbd,1366724169,1373866475
0008ca5f7db9,1366719613,1373858265
0008ca5fa707,1366719460,1372673334
0008ca62f890,1366715162,1373169930
0008ca63171b,1366763975,1373856239
0008ca633307,1366718162,1373866779
0008ca63a6fb,1366725901,1373866060
0008caa696a7,1366717239,1373866771
0008caa87719,1366718793,1373866216
0008cac6bc5f,1366760840,1373849072
0008cac7d5f4,1366717445,1373864270
0008cac7f28b,1366715530,1373861797
000ce7000000,1366774705,1373859195
000ce7000228,1366761167,1373532964
000ce70002cb,1370178502,1373866940
000ce7011277,1369108152,1373866910
000ce7033960,1366716106,1373724864
000ce7049381,1366754249,1373863115
000ce713e3be,1366718495,1373863682
000f127001cd,1366735645,1373862756
000f1270034f,1366715194,1370702694
001122334455,1366761133,1373860078
001194c31692,1366716381,1373758289
001194cdd0ae,1366774286,1371633828
001194d36cce,1366766708,1373858383
0011e1d8a819,1366719078,1373865390
00124034844c,1366728727,1373622997
0012406b9860,1367915399,1373818526
00124099f516,1366715489,1372767464
001240a005e0,1366724325,1372326844
001240aa48df,1366732782,1373854783
001240bc5688,1367884824,1373863391
001240c4da58,1366715345,1373857848
001240c568b5,1370847279,1373866677
0012fe085c4c,1366717097,1373857609
0012fe10d39d,1366718734,1373859471
0012fe14dad6,1366892144,1373866825
0012fe1590af,1366717176,1372519090
0012fe314fe5,1366759595,1373749136
0012fe5b8bc7,1366765438,1373866138
0012fe5fe03e,1366764026,1373860234
0012fe770197,1366761679,1373864963
0012fe77b6b6,1366715752,1373856446
0012fe77c3f1,1366716003,1373782042
0012fe780392,1366715731,1373864813
0012fe7865cd,1366760051,1373861093
0012fe787633,1366758388,1373858795
0012fe78cda9,1366715726,1373866200
0012fe790058,1366719316,1373795779
0012fe7a801c,1366718118,1373695287
0012fe884843,1366852021,1373866904
0012fec6a9eb,1366731210,1373003223
0012fec6ced4,1366716075,1373797403
0012feca65d2,1367453187,1373866601
0012feca9543,1366724862,1373792802
0012feca9f25,1366871850,1373705533
0012fecab49a,1366718373,1373622138
0012fecde8cf,1366729298,1373415405
0012fed8552e,1366761376,1373863831
0012fed92401,1366719456,1373866748
0012fedb0db9,1366715582,1373704838
0012fedb6e9d,1366716541,1373866423
0012fedb714b,1366719135,1373859590
0012fedc9641,1366718807,1373866490
0012fee21bfd,1366769043,1373859592
0013e804b146,1366724561,1373859618
00166a3099d0,1366716959,1370316383
00166a30f11c,1366764541,1373796193
00166a315f9a,1366716559,1373514741
00166a31d72a,1366798422,1373762746
00166d473439,1366718224,1373866745
